Name,Category,Link for headshot,Linkedin,Logos,Bio,,,,,,,,,,,,,,,,,,,
James Peterson,Credit,,https://www.linkedin.com/in/james-peterson-a4781293/,"Mercury Financial, JPMorgan Chase, Capital One","James Peterson has served in senior leadership roles spanning consumer finance and bank partnership ecosystems, including as Chief Executive Officer at Mercury Financial. He has also held senior credit leadership roles at partner banks supporting fintech and marketplace lending programs. His background centers on building underwriting and risk frameworks that scale across consumer credit portfolios.",,,,,,,,,,,,,,,,,,,
Marshall Lux,,https://patomak.com/team/marshall-lux/,https://www.linkedin.com/in/marshall-lux-b05537120/,"McKinsey, BCG, JP Morgan","Marshall Lux began his career at McKinsey where he led relationships with many US and NonUs Banks and Fintechs. After 22 years as a Senior Partner at McKinsey, he joined JPMC to lead risk at Chase. He then joined BCG as a Senior Partner.

Marshall is currently on the Boards of Flagstar Bank, Mphasis, GreenSky among others. He advises a broad range of Fintechs, as well as PEs and VCs. He is also a prolific writer on fintech issues, writing through Senior Fellowships at Harvard amd Georgetown.",,,,,,,,,,,,,,,,,,,
Colin Walsh,Consumer Fintech,https://corporate.moneygram.com/colin-walsh/,https://www.linkedin.com/in/colindwalsh/,"Varo, Lloyds Bank","Colin is the founder and former CEO of Varo Bank, the first all-digital nationally chartered bank in U.S. history. Prior to starting Varo, he had 25 years of experience leading large-scale consumer businesses, including serving as an Executive Vice President at Wells Fargo, Managing Director at Lloyds Banking Group and Executive Vice President at American Express. Colin currently serves on the boards of Varo and MoneyGram and chairs the board of the British Film Institute - America. Colin recently founded and serves as Board Chair of the non-profit Civitas ID.",,,,,,,,,,,,,,,,,,,
Stephen Mugford,Corporate Strategy,https://us.money2020.com/agenda/speakers/stephen-mugford-s103-104161,https://www.linkedin.com/in/stevemugford/,Capital One,"Steve Mugford is a seasoned strategist with 3 decades of experience driving transformation at the intersection of Banking, Data Analytics and Technology. Steve started at BCG, and was Capital One’s EVP Head of Strategy for 21 years. Steve identified transformative opportunities and risk at Capital One, and set Capital One’s vision and agenda. During his tenure, Capital One grew from an unbranded monoline to a top US bank with a dominant brand, leading technology and leading customer service. Mr. Mugford is currently CEO of Flashpoint.ai an AI market intelligence platform. He serves on the board of Persado the leading AI marketing platform for banks, and VoloSports the leading Social Sports operator in the US.",,,,,,,,,,,,,,,,,,,
Michael Heller,Credit,https://www.oakhcft.com/team-members/michael-heller,https://www.linkedin.com/in/michael-heller-62a6249/,"Oak HC/FT, MissionOG, Argus, FactorTrust","Michael Heller is an Advisor at Oak HC/FT and an Operating Partner at Mission OG where he focuses on growth equity and early-stage fintech opportunities. Michael sits on several boards including Blastpoint and Validifi. Michael was recently chairman of Audigent which was acquired by Experian in 2024.  Additionally, he served as President of FactorTrust, an alternative credit bureau that was acquired by TransUnion in 2017. Prior to that, Michael co-founded and served as President of Argus Information & Advisory, a leading data and analytics provider for the global payments industry, which was acquired by Verisk Analytics for $425 million in 2012.

",,,,,,,,,,,,,,,,,,,
Kirk Chapman,Crypto,https://omnumi.io/team/,https://www.linkedin.com/in/kirk-chapman-58969667/,"SoFi, Galileo, Square (Cash App), Omnumi","Kirk Chapman is CEO and co-founder of Omnumi, bringing over 20 years of banking and payments technology experience. He previously led operational technology at SoFi and advised CEO Anthony Noto, and served as Head of Strategy for Galileo. Earlier, he founded and ran an MSP supporting banks and banking technology across the U.S. Southeast.",,,,,,,,,,,,,,,,,,,
Ariel Boyman,Data & Analytics,https://comcapllc.com/our-team,https://www.linkedin.com/in/ariel-boyman-bb429b3/details/experience/,"Mastercard, UBS, Credit Suisse, Verisk, DataDisrupt","Ariel Boyman's career includes over 25 years of experience leading inorganic growth and financing initiatives for leading solutions and services providers in the technology sector. He has led, and advised on, initiatives representing over $25 billion in transaction value as a corporate development professional and investment banker. Ariel is the Founder of DataDisrupt and was previously Vice President M&A, Investments and Strategic Partnerships at Mastercard. Prior to joining Mastercard, Ariel held senior corporate development roles at Cognizant and Verisk Analytics as well as senior investment banking roles at UBS and Credit Suisse, where he spent seven years with the CSFB Technology Investment Banking Group. Ariel received an MBA from Columbia Business School and a BBA from the University of Michigan.",,,,,,,,,,,,,,,,,,,
Arjun Arora,Fundraising,https://www.formatone.io/team,https://www.linkedin.com/in/arjundevarora/,"Format One, Jefferies Broadview, 500 Startups, Yahoo!, Nike","Arjun Arora is the founder and advisor at Format One, advising funds, startups, and Fortune 100 companies on strategy, monetization, and fundraising. He was previously a Partner at 500 Startups and founded ReTargeter (acquired by Sellpoints in 2015). Earlier, he led business development at Yahoo! Real Estate and was the IC member at Nike VL.",,,,,,,,,,,,,,,,,,,
Ashwin Shirvaikar,IPO Readiness,https://www.americanbanker.com/author/ashwin-shirvaikar,https://www.linkedin.com/in/ashwin-shirvaikar/,Citi,"Ashwin Shirvaikar is the Founder of Red Bear Advisory LLC, a Strategy and Communications advisor to CXOs in the Fintech and IT Services industries. He was previously a Managing Director at Citi and was Global Head/Co-Head of Fintech/IT Services Equity Research. He was an Institutional Investor (II) top-ranked analyst and a primary voice for Fintech valuation, having participated in over 75 IPOs over 24 years. He began his career in M&A at AlliedSignal and is a CFA Charterholder",,,,,,,,,,,,,,,,,,,
Tom Brown,Legal,https://www.paulhastings.com/professionals/tombrown,https://www.linkedin.com/in/tpbrown5/,"Paul Hastings, NYCA, Visa","Thomas Brown is a senior counsel at Paul Hastings. J.P. Morgan has called him “fintech’s most famous legal mind.” Over three decades, he has represented nearly every major company in the space, as well as their founders and investors. Prior to Paul Hastings, Thomas was a partner with and general counsel of NYCA, a leading venture capital firm focused on connecting innovative companies to the global financial system. At Paul Hastings, Thomas' practice is focused primarily on competition law and legal issues affecting the financial services industry. He is a past chair of the firm’s Competition practice and co-chair of the firm’s Fintech practice. In addition to strategically advising payment systems and financial services clients across a broad spectrum of regulatory issues, he has litigated notable antitrust cases, including class actions.",,,,,,,,,,,,,,,,,,,
David Boehmer,Operating Talent,https://theorg.com/org/banff-advisors/org-chart/david-boehmer,https://www.linkedin.com/in/dboehmer/,"Banff Advisors, Heidrick & Struggles","David is the Founder and CEO of Banff Advisors. He previously spent 20 years at Heidrick & Struggles (Nasdaq: HSII), where he served on the Global Management Committee and as Global Managing Partner of the Financial Services Practice. A trusted advisor to the Boards of the world's largest banks and fintechs, David was named a Young Global Leader by the World Economic Forum in 2012.",,,,,,,,,,,,,,,,,,,
Princeton Graham,Regulatory,https://www.fsvector.com/team/princeton-graham,https://www.linkedin.com/in/princeton-graham/,"FS Vector, QED Investors, Treliant, FS Vector","Princeton Graham is a Managing Principal at FS Vector, advising fintech and traditional financial institutions on operational strategy, regulatory analysis, licensing, partnerships, and building risk/compliance programs. Before FS Vector, he worked at Treliant and supported a private family office, and also spent time at QED Investors. He has also worked with U.S. Senators Tim Kaine and Mark Warner.",,,,,,,,,,,,,,,,,,,
Ciara Burnham,Strategy,https://business.columbia.edu/people/ciara-burnham-93,https://www.linkedin.com/in/ciara-burnham-5a963a14/,"Evercore, McKinsey, Alliance Bernstein, QED","Ciara Burnham is a financial services executive, board director, and investor with decades of experience across investment banking and fintech. She spent roughly two decades as a senior managing director at Evercore, helping build the firm’s investment banking and investment management platform globally. She has also advised early-stage fintech companies and served as a senior advisor and partner with QED Investors, after earlier roles at Sanford Bernstein and McKinsey.",,,,,,,,,,,,,,,,,,,
Alex Simpson,,https://missionmatters.com/unlocking-liquidity-in-private-markets-with-alexander-simpson-of-liquid-lp,https://www.linkedin.com/in/alsimpson1/,LiquidLP,"Alex Simpson is the co-founder and CEO of LiquidLP, building liquidity solutions for private-market investors. A South Africa-born entrepreneur with 15+ years in fintech and three exits, he also invests and advises across the ecosystem, specializing in LP loans and private-fund NAV lending for family offices and RIAs. He is a quiet achiever and deeply relationship-driven.",,,,,,,,,,,,,,,,,,,
Asheet Mehta,Corporate Strategy,https://www.piramalfinance.com/about-us/board-of-director/asheet-mehta,https://www.linkedin.com/in/asheet-mehta-37630957/,McKinsey,"Asheet Mehta previously led McKinsey’s Financial Services Practice in the Americas and co-led it globally, and served on the Firm’s Shareholders Council. His work spans insurers, payments, wealth/asset managers, and banks, supporting end-to-end transformations from operating model to platform redesign. He also serves on the Risk committees of the boards of Piramal and Pagaya.",,,,,,,,,,,,,,,,,,,
Sanjay Sachdev,India,https://apis.pe/team/sanjay-sachdev/,https://www.linkedin.com/in/sanjay-s-2254a1/,"Tata Asset Management, Principal PNB Asset Management, Shinsei Bank of Japan, ","Sanjay is based in India and the US and has spent over 25 years building game-changing asset management businesses in a number of Growth Markets. He is currently the Chairman of Zyfin, a smart beta asset management company based in India.He has served as the President and Chief Executive Officer at Tata Asset Management, based in India. Prior to joining Tata, Sanjay also served as the Chief Executive Officer at Principal PNB Asset Management and as Regional Head of Asset Management for S.E Asia for Shinsei Bank of Japan. He was also Managing Director and Country Manager for India at Principal International Inc and at The Principal International for 12 years, 9 of them in India.",,,,,,,,,,,,,,,,,,,
Harvey Hudes,PR & Communications,https://www.calibercorporate.com/team/harvey-hudes/,https://www.linkedin.com/in/harveyhudes/,Caliber Corporate Advisers,"Harvey Hudes is founder of Caliber, an Inc 5000 marketing communications firm focused on helping financial services, fintechs, insurtechs, & proptechs increase their visibility and credibility. Harvey started the firm after seeing a gap between fintech innovation and financial-services storytelling while working in financial media. They have since collaborated with more than 300 companies, including Goldman Sachs, Blackstone, KKR, and Berkshire Hathaway portfolio companies, financial institutions, investors, and numerous other industry-leading and growth-stage companies. 
Harvey is an active investor in the fintech ecosystem and holds Advisory Board positions with a number of innovating organizations. 
He also owns The Financial Revolutionist, a media outlet providing readers with financial innovation insights and intelligence. ",,,,,,,,,,,,,,,,,,,
Jeff Holland,,https://www.empowersemi.com/company/board-of-directors/, ,"Brown Brothers Harriman, Accenture, Eurex","Jeff Holland brings over 30 years of global financial services experience and is a retired partner at Brown Brothers Harriman (BBH), where he served as Global Head of the Financial Institutions Group and directed or chaired BBH’s non-U.S. subsidiaries in Europe and Asia. Prior to BBH, he worked at Accenture across Boston, New York, and Frankfurt, advising financial institutions. Since retiring, Jeff has focused on advising and investing in emerging companies and supporting philanthropic initiatives. He currently serves on the boards of Sanford C. Bernstein Funds, United Way of Mass Bay, and the Francis Ouimet Scholarship Fund, advises Novaya Real Estate Ventures and is President of the Governors Island Club. Jeff holds a B.S. in Management and Finance from Clarkson University and resides in Boston with his family.
",,,,,,,,,,,,,,,,,,,
Michael Lincoln,Legal,https://www.cooley.com/people/mike-lincoln,https://www.linkedin.com/in/mike-lincoln-b5262/,Cooley,"Mike is the vice chair of Cooley and works with the firm’s senior leadership team on matters of client relations, strategic planning, lateral growth and communications. His practice focuses on emerging companies, venture capital and M&A. In 1999, Mike co-founded Cooley’s first East Coast office in Reston, Virginia.",,,,,,,,,,,,,,,,,,,
